theme,branch,path,status,note
datatrustsinitiative,main,_includes/listauthors.html,IDENTICAL,
datatrustsinitiative,main,_includes/seo-info.html,IDENTICAL,
datatrustsinitiative,main,_includes/extractinfo_publication.html,IDENTICAL,
datatrustsinitiative,main,_includes/extractname.html,IDENTICAL,
datatrustsinitiative,main,_includes/copy_sections.html,IDENTICAL,
datatrustsinitiative,main,_includes/bibtex_copy_section.html,IDENTICAL,
datatrustsinitiative,main,_includes/apa_copy_section.html,IDENTICAL,
datatrustsinitiative,main,_includes/ris_copy_section.html,IDENTICAL,
datatrustsinitiative,main,_includes/endnote_copy_section.html,IDENTICAL,
datatrustsinitiative,main,_includes/bibtex_entry,IDENTICAL,
datatrustsinitiative,main,_includes/apa_entry,IDENTICAL,
datatrustsinitiative,main,_includes/ris_entry,IDENTICAL,
datatrustsinitiative,main,_includes/endnote_entry,IDENTICAL,
datatrustsinitiative,main,_includes/copy_buttons.html,IDENTICAL,
datatrustsinitiative,main,_includes/hidden_copy_code.html,IDENTICAL,
datatrustsinitiative,main,_includes/paper_google_scholar.html,IDENTICAL,
datatrustsinitiative,main,_includes/paper_open_graph_meta.html,IDENTICAL,
datatrustsinitiative,main,_includes/paper_twitter_meta.html,IDENTICAL,
datatrustsinitiative,main,assets/bib/citeproc.yaml,IDENTICAL,
acceleratescience,main,_layouts/publication.html,DIFFERS,
acceleratescience,main,_layouts/article.html,IDENTICAL,layout=publication; body=paper_authors_abstract_links.html
acceleratescience,main,_layouts/inproceedings.html,IDENTICAL,
acceleratescience,main,_layouts/techreport.html,IDENTICAL,
acceleratescience,main,_includes/paper_authors_abstract_links.html,IDENTICAL,
acceleratescience,main,_includes/paper_abstract.html,IDENTICAL,
acceleratescience,main,_includes/cite-as.html,IDENTICAL,
acceleratescience,main,_includes/listpaper.html,IDENTICAL,
acceleratescience,main,_includes/listauthors.html,IDENTICAL,
acceleratescience,main,_includes/seo-info.html,IDENTICAL,
acceleratescience,main,_includes/extractinfo_publication.html,DIFFERS,
acceleratescience,main,_includes/extractname.html,IDENTICAL,
acceleratescience,main,_includes/copy_sections.html,IDENTICAL,
acceleratescience,main,_includes/bibtex_copy_section.html,IDENTICAL,
acceleratescience,main,_includes/apa_copy_section.html,IDENTICAL,
acceleratescience,main,_includes/ris_copy_section.html,IDENTICAL,
acceleratescience,main,_includes/endnote_copy_section.html,IDENTICAL,
acceleratescience,main,_includes/bibtex_entry,IDENTICAL,
acceleratescience,main,_includes/apa_entry,IDENTICAL,
acceleratescience,main,_includes/ris_entry,IDENTICAL,
acceleratescience,main,_includes/endnote_entry,IDENTICAL,
acceleratescience,main,_includes/copy_buttons.html,DIFFERS,
acceleratescience,main,_includes/hidden_copy_code.html,DIFFERS,
acceleratescience,main,_includes/paper_google_scholar.html,IDENTICAL,
acceleratescience,main,_includes/paper_open_graph_meta.html,IDENTICAL,
acceleratescience,main,_includes/paper_twitter_meta.html,IDENTICAL,
acceleratescience,main,assets/bib/citeproc.yaml,IDENTICAL,
aistats,master,_layouts/publication.html,MISSING,
aistats,master,_layouts/article.html,DIFFERS,layout=default; body=paper_abstract.html
aistats,master,_layouts/inproceedings.html,DIFFERS,
aistats,master,_layouts/techreport.html,DIFFERS,
aistats,master,_includes/paper_authors_abstract_links.html,MISSING,
aistats,master,_includes/paper_abstract.html,IDENTICAL,
aistats,master,_includes/cite-as.html,DIFFERS,
aistats,master,_includes/listpaper.html,DIFFERS,
aistats,master,_includes/listauthors.html,IDENTICAL,
aistats,master,_includes/seo-info.html,IDENTICAL,
aistats,master,_includes/extractinfo_publication.html,DIFFERS,
aistats,master,_includes/extractname.html,MISSING,
aistats,master,_includes/copy_sections.html,DIFFERS,
aistats,master,_includes/bibtex_copy_section.html,IDENTICAL,
aistats,master,_includes/apa_copy_section.html,IDENTICAL,
aistats,master,_includes/ris_copy_section.html,IDENTICAL,
aistats,master,_includes/endnote_copy_section.html,IDENTICAL,
aistats,master,_includes/bibtex_entry,IDENTICAL,
aistats,master,_includes/apa_entry,IDENTICAL,
aistats,master,_includes/ris_entry,IDENTICAL,
aistats,master,_includes/endnote_entry,IDENTICAL,
aistats,master,_includes/copy_buttons.html,IDENTICAL,
aistats,master,_includes/hidden_copy_code.html,DIFFERS,
aistats,master,_includes/paper_google_scholar.html,DIFFERS,
aistats,master,_includes/paper_open_graph_meta.html,DIFFERS,
aistats,master,_includes/paper_twitter_meta.html,DIFFERS,
aistats,master,assets/bib/citeproc.yaml,IDENTICAL,
gpschool,master,_layouts/publication.html,MISSING,
gpschool,master,_layouts/article.html,DIFFERS,layout=default; body=paper_abstract.html
gpschool,master,_layouts/inproceedings.html,DIFFERS,
gpschool,master,_layouts/techreport.html,DIFFERS,
gpschool,master,_includes/paper_authors_abstract_links.html,MISSING,
gpschool,master,_includes/paper_abstract.html,IDENTICAL,
gpschool,master,_includes/cite-as.html,DIFFERS,
gpschool,master,_includes/listpaper.html,DIFFERS,
gpschool,master,_includes/listauthors.html,IDENTICAL,
gpschool,master,_includes/seo-info.html,IDENTICAL,
gpschool,master,_includes/extractinfo_publication.html,DIFFERS,
gpschool,master,_includes/extractname.html,MISSING,
gpschool,master,_includes/copy_sections.html,DIFFERS,
gpschool,master,_includes/bibtex_copy_section.html,IDENTICAL,
gpschool,master,_includes/apa_copy_section.html,IDENTICAL,
gpschool,master,_includes/ris_copy_section.html,IDENTICAL,
gpschool,master,_includes/endnote_copy_section.html,IDENTICAL,
gpschool,master,_includes/bibtex_entry,IDENTICAL,
gpschool,master,_includes/apa_entry,IDENTICAL,
gpschool,master,_includes/ris_entry,IDENTICAL,
gpschool,master,_includes/endnote_entry,IDENTICAL,
gpschool,master,_includes/copy_buttons.html,IDENTICAL,
gpschool,master,_includes/hidden_copy_code.html,DIFFERS,
gpschool,master,_includes/paper_google_scholar.html,DIFFERS,
gpschool,master,_includes/paper_open_graph_meta.html,DIFFERS,
gpschool,master,_includes/paper_twitter_meta.html,DIFFERS,
gpschool,master,assets/bib/citeproc.yaml,IDENTICAL,
mlresearch,master,_layouts/publication.html,MISSING,
mlresearch,master,_layouts/article.html,DIFFERS,layout=default; body=paper_abstract.html
mlresearch,master,_layouts/inproceedings.html,DIFFERS,
mlresearch,master,_layouts/techreport.html,DIFFERS,
mlresearch,master,_includes/paper_authors_abstract_links.html,MISSING,
mlresearch,master,_includes/paper_abstract.html,IDENTICAL,
mlresearch,master,_includes/cite-as.html,DIFFERS,
mlresearch,master,_includes/listpaper.html,DIFFERS,
mlresearch,master,_includes/listauthors.html,IDENTICAL,
mlresearch,master,_includes/seo-info.html,IDENTICAL,
mlresearch,master,_includes/extractinfo_publication.html,DIFFERS,
mlresearch,master,_includes/extractname.html,MISSING,
mlresearch,master,_includes/copy_sections.html,DIFFERS,
mlresearch,master,_includes/bibtex_copy_section.html,IDENTICAL,
mlresearch,master,_includes/apa_copy_section.html,IDENTICAL,
mlresearch,master,_includes/ris_copy_section.html,IDENTICAL,
mlresearch,master,_includes/endnote_copy_section.html,IDENTICAL,
mlresearch,master,_includes/bibtex_entry,IDENTICAL,
mlresearch,master,_includes/apa_entry,IDENTICAL,
mlresearch,master,_includes/ris_entry,IDENTICAL,
mlresearch,master,_includes/endnote_entry,IDENTICAL,
mlresearch,master,_includes/copy_buttons.html,DIFFERS,
mlresearch,master,_includes/hidden_copy_code.html,DIFFERS,
mlresearch,master,_includes/paper_google_scholar.html,DIFFERS,
mlresearch,master,_includes/paper_open_graph_meta.html,DIFFERS,
mlresearch,master,_includes/paper_twitter_meta.html,DIFFERS,
mlresearch,master,assets/bib/citeproc.yaml,IDENTICAL,
mlr-datasets,master,_layouts/publication.html,MISSING,
mlr-datasets,master,_layouts/article.html,DIFFERS,layout=default; body=paper_abstract.html
mlr-datasets,master,_layouts/inproceedings.html,DIFFERS,
mlr-datasets,master,_layouts/techreport.html,DIFFERS,
mlr-datasets,master,_includes/paper_authors_abstract_links.html,MISSING,
